so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
chg2_m|210050|232700|232000|1|3.4|1|0.07875|0|0
chg1_m|210050|232700|232000|1|4.8|1.8|0.07875|0|0
chg1_fu|210000|225700|225000|1|2.8|2|0|0.00001785|0.05
chg3_fu|210000|225700|225000|1|1.4|1.2|0|0.00001785|0.05
chg2_fu|210000|225700|225000|1|1.8|1.6|0|0.00001785|0.05
chg4_fu|210000|225700|225000|1|1.6|1.2|0|0.00001785|0.05
chg5_fu|210000|225700|225000|1|1.3|1.1|0|0.00001785|0.05
chg4_rb|210000|225700|225000|1|1.8|1|0|0.0000714|0.05
chg2_rb|210000|225700|225000|1|3.6|1|0|0.0000714|0.05
chg5_rb|210000|225700|225000|1|1.2|1|0|0.0000714|0.05
chg6_rb|210000|225700|225000|1|1.6|1|0|0.0000714|0.05
chg3_sc|210000|262700|262000|1|1.6|1.2|0.0105|0|0.05
chg4_sc|210000|262700|262000|1|1.4|1.2|0.0105|0|0.05
chg1_sp|210000|225700|225000|1|4.8|3|0|0.00001785|0.05
chg2_sp|210000|225700|225000|1|3.6|2.8|0|0.00001785|0.05
chg3_sp|210000|225700|225000|1|2|2|0|0.00001785|0.05
chg4_sp|210000|225700|225000|1|1.4|1.4|0|0.00001785|0.05
chg6_sp|210000|225700|225000|1|1.2|1|0|0.00001785|0.05
chg3_SR|210000|232700|232000|1|3.2|1.2|0.09765|0|0.5
chg5_TA|210000|232700|232000|1|1.5|1|1.1718|0|0.5
chg4_TA|210000|232700|232000|1|3.4|1.2|1.1718|0|0.5
chg6_TA|210000|232700|232000|1|3|1.8|1.1718|0|0.5
chg3_TA|210000|232700|232000|1|4.2|1|1.1718|0|0.5
chg2_ZC|210000|232700|232000|1|5.6|1.2|0.02604|0|0.5
