comm_no,strategy,contract,lot
shcu,st301a_cu_day,cu1902,1
shhc,st301a_hc_day,hc1905,1
shni,st301a_ni_day,ni1905,1
shpb,st301a_pb_day,pb1902,1
shrb,st301a_rb_day,rb1905,30
shsp,st301a_sp_day,sp1906,1
shcu,st302a_cu_day,cu1902,1
shpb,st302a_pb_day,pb1902,1
shrb,st302a_rb_day,rb1905,30
shcu,st303a_cu_day,cu1902,1
shfu,st303a_fu_day,fu1905,1
shpb,st303a_pb_day,pb1902,1
shrb,st303a_rb_day,rb1905,30
shzn,st303a_zn_day,zn1902,1
shrb,st304a_rb_day,rb1905,25
shrb,st305a_rb_day,rb1905,30
shrb,st308a_rb_day,rb1905,20
