comm_no,strategy,contract,lot
shni,st301a_ni_day,ni1908,1
shpb,st301a_pb_day,pb1909,1
shrb,st301a_rb1910_day,rb1910,11
shrb,st302a_rb1910_day,rb1910,11
shni,st303a_ni_day,ni1908,1
shrb,st303a_rb1910_day,rb1910,11
shru,st304a_ru_day,ru1909,1
shrb,st307a_rb1910_day,rb1910,11
shru,st307a_ru_day,ru1909,1
shni,st309a_ni_day,ni1908,1
shrb,st309a_rb1910_day,rb1910,11
shpb,st310a_pb_day,pb1909,1
shru,st310a_ru_day,ru1909,1
shrb,st312a_rb1910_day,rb1910,11
shrb,st313a_rb1910_day,rb1910,11
shpb,st314a_pb_day,pb1909,1
shrb,st314a_rb1910_day,rb1910,11
shni,st315a_ni_day,ni1908,1
shrb,st316a_rb1910_day,rb1910,11
shrb,st301a_rb2001_day,rb2001,11
shrb,st302a_rb2001_day,rb2001,11
shrb,st303a_rb2001_day,rb2001,11
shrb,st307a_rb2001_day,rb2001,11
shrb,st309a_rb2001_day,rb2001,11
shrb,st312a_rb2001_day,rb2001,11
shrb,st313a_rb2001_day,rb2001,11
shrb,st314a_rb2001_day,rb2001,11
shrb,st316a_rb2001_day,rb2001,11
